taxon	min_age	max_age	
t6	0.841	0.841
t3	0.485	0.485
t2	0	0
t4	0	0
t5	0	0
t7	0	0
t1	0	0
1_1	0.881275	0.881275
2_3	0.386263	0.386263
3_12	0.01210226	0.01210226
4_3	0.6567283	0.6567283
5_5	0.7494514	0.7494514
6_6	0.6714987	0.6714987
7_3	0.5177397	0.5177397
8_4	0.8379471	0.8379471
9_5	0.386253	0.386253
10_6	0.753987	0.753987
11_9	0.003754147	0.003754147
12_5	0.7380361	0.7380361
13_5	0.5767719	0.5767719
14_12	0.2045631	0.2045631
15_12	0.08370002	0.08370002
16_6	0.4556364	0.4556364
17_12	0.3638161	0.3638161
18_5	0.4632082	0.4632082
19_12	0.01582475	0.01582475
20_11	0.1919521	0.1919521
21_6	0.4349922	0.4349922
22_5	0.3684949	0.3684949
23_3	0.4999484	0.4999484
24_11	0.004976525	0.004976525
25_5	0.4943989	0.4943989
26_1	0.8451205	0.8451205
27_5	0.5919859	0.5919859
28_3	0.5829418	0.5829418
29_12	0.3379092	0.3379092
