taxon	min_age	max_age	
t2_1	0	0
t4_1	0	0
t3_1	0.6528007	0.6528007
t2_2	0.03348379	0.03348379
t2_7	0.6439333	0.6439333
t2_6	0.5824303	0.5824303
t2_3	0.1472803	0.1472803
t2_4	0.2245249	0.2245249
t2_5	0.442374	0.442374
t4_4	0.4831822	0.4831822
t4_3	0.3734146	0.3734146
t4_2	0.2785026	0.2785026
t5_2	0.05890113	0.05890113
t5_3	0.08433396	0.08433396
t5_4	0.2574469	0.2574469
t7_3	0.06509438	0.06509438
t7_2	0.0116333	0.0116333
t11_1	0.4945339	0.4945339
t11_2	0.6299337	0.6299337
t12_1	0.3111505	0.3111505
